#SNAME	SCANTYPE	FRAME	LONGITUDE	LATITUDE	DATETIME	SIDEREALTIME
C/2012	TLESCAN	EQ	16:03:45.48	-22:48:24.4	2013/11/28 06:21:08	11:27:24.51
C/2012	TLESCAN	EQ	16:03:45.55	-22:48:24.4	2013/11/28 06:21:12	11:27:28.52
C/2012	TLESCAN	EQ	16:03:45.62	-22:48:24.4	2013/11/28 06:21:16	11:27:32.53
C/2012	TLESCAN	EQ	16:03:45.69	-22:48:24.4	2013/11/28 06:21:20	11:27:36.54
C/2012	TLESCAN	EQ	16:03:45.77	-22:48:24.4	2013/11/28 06:21:24	11:27:40.56
C/2012	TLESCAN	EQ	16:03:45.84	-22:48:24.4	2013/11/28 06:21:28	11:27:44.57
C/2012	TLESCAN	EQ	16:03:45.91	-22:48:24.4	2013/11/28 06:21:32	11:27:48.58
C/2012	TLESCAN	EQ	16:03:45.98	-22:48:24.4	2013/11/28 06:21:36	11:27:52.59
C/2012	TLESCAN	EQ	16:03:46.05	-22:48:24.3	2013/11/28 06:21:40	11:27:56.60
C/2012	TLESCAN	EQ	16:03:46.13	-22:48:24.3	2013/11/28 06:21:44	11:28:00.61
C/2012	TLESCAN	EQ	16:03:46.20	-22:48:24.3	2013/11/28 06:21:48	11:28:04.62
C/2012	TLESCAN	EQ	16:03:46.27	-22:48:24.3	2013/11/28 06:21:52	11:28:08.63
C/2012	TLESCAN	EQ	16:03:46.34	-22:48:24.3	2013/11/28 06:21:56	11:28:12.64
C/2012	TLESCAN	EQ	16:03:46.42	-22:48:24.3	2013/11/28 06:22:01	11:28:16.65
C/2012	TLESCAN	EQ	16:03:46.51	-22:48:24.3	2013/11/28 06:22:06	11:28:21.67
C/2012	TLESCAN	EQ	16:03:46.60	-22:48:24.3	2013/11/28 06:22:10	11:28:26.68
C/2012	TLESCAN	EQ	16:03:46.67	-22:48:24.3	2013/11/28 06:22:14	11:28:30.69
C/2012	TLESCAN	EQ	16:03:46.74	-22:48:24.3	2013/11/28 06:22:18	11:28:34.70
C/2012	TLESCAN	EQ	16:03:46.82	-22:48:24.3	2013/11/28 06:22:22	11:28:38.71
C/2012	TLESCAN	EQ	16:03:46.89	-22:48:24.2	2013/11/28 06:22:26	11:28:42.72
C/2012	TLESCAN	EQ	16:03:46.96	-22:48:24.2	2013/11/28 06:22:30	11:28:46.74
C/2012	TLESCAN	EQ	16:03:47.03	-22:48:24.2	2013/11/28 06:22:34	11:28:50.75
C/2012	TLESCAN	EQ	16:03:47.10	-22:48:24.2	2013/11/28 06:22:38	11:28:54.76
C/2012	TLESCAN	EQ	16:03:47.18	-22:48:24.2	2013/11/28 06:22:42	11:28:58.77
C/2012	TLESCAN	EQ	16:03:47.25	-22:48:24.2	2013/11/28 06:22:47	11:29:02.78
C/2012	TLESCAN	EQ	16:03:47.34	-22:48:24.2	2013/11/28 06:22:52	11:29:07.79
C/2012	TLESCAN	EQ	16:03:47.43	-22:48:24.2	2013/11/28 06:22:57	11:29:12.81
C/2012	TLESCAN	EQ	16:03:47.52	-22:48:24.2	2013/11/28 06:23:01	11:29:17.82
C/2012	TLESCAN	EQ	16:03:47.59	-22:48:24.2	2013/11/28 06:23:06	11:29:21.83
C/2012	TLESCAN	EQ	16:03:47.68	-22:48:24.1	2013/11/28 06:23:11	11:29:26.85
C/2012	TLESCAN	EQ	16:03:47.78	-22:48:24.1	2013/11/28 06:23:16	11:29:31.86
C/2012	TLESCAN	EQ	16:03:47.87	-22:48:24.1	2013/11/28 06:23:20	11:29:36.87
C/2012	TLESCAN	EQ	16:03:47.94	-22:48:24.1	2013/11/28 06:23:25	11:29:40.88
C/2012	TLESCAN	EQ	16:03:48.03	-22:48:24.1	2013/11/28 06:23:30	11:29:45.90
C/2012	TLESCAN	EQ	16:03:48.12	-22:48:24.1	2013/11/28 06:23:35	11:29:50.91
C/2012	TLESCAN	EQ	16:03:48.21	-22:48:24.1	2013/11/28 06:23:40	11:29:55.92
C/2012	TLESCAN	EQ	16:03:48.30	-22:48:24.1	2013/11/28 06:23:44	11:30:00.94
C/2012	TLESCAN	EQ	16:03:48.37	-22:48:24.1	2013/11/28 06:23:49	11:30:04.95
C/2012	TLESCAN	EQ	16:03:48.46	-22:48:24.0	2013/11/28 06:23:54	11:30:09.96
C/2012	TLESCAN	EQ	16:03:48.55	-22:48:24.0	2013/11/28 06:23:59	11:30:14.98
C/2012	TLESCAN	EQ	16:03:48.64	-22:48:24.0	2013/11/28 06:24:04	11:30:19.99
C/2012	TLESCAN	EQ	16:03:48.74	-22:48:24.0	2013/11/28 06:24:09	11:30:25.00
C/2012	TLESCAN	EQ	16:03:48.83	-22:48:24.0	2013/11/28 06:24:14	11:30:30.02
C/2012	TLESCAN	EQ	16:03:48.92	-22:48:24.0	2013/11/28 06:24:19	11:30:35.03
C/2012	TLESCAN	EQ	16:03:49.01	-22:48:24.0	2013/11/28 06:24:24	11:30:40.05
C/2012	TLESCAN	EQ	16:03:49.10	-22:48:24.0	2013/11/28 06:24:29	11:30:45.06
C/2012	TLESCAN	EQ	16:03:49.19	-22:48:24.0	2013/11/28 06:24:34	11:30:50.07
C/2012	TLESCAN	EQ	16:03:49.28	-22:48:23.9	2013/11/28 06:24:38	11:30:55.09
C/2012	TLESCAN	EQ	16:03:49.35	-22:48:23.9	2013/11/28 06:24:43	11:30:59.10
C/2012	TLESCAN	EQ	16:03:49.44	-22:48:23.9	2013/11/28 06:24:48	11:31:04.11
C/2012	TLESCAN	EQ	16:03:49.53	-22:48:23.9	2013/11/28 06:24:53	11:31:09.12
C/2012	TLESCAN	EQ	16:03:49.62	-22:48:23.9	2013/11/28 06:24:58	11:31:14.14
C/2012	TLESCAN	EQ	16:03:49.71	-22:48:23.9	2013/11/28 06:25:02	11:31:19.15
C/2012	TLESCAN	EQ	16:03:49.79	-22:48:23.9	2013/11/28 06:25:06	11:31:23.16
C/2012	TLESCAN	EQ	16:03:49.86	-22:48:23.9	2013/11/28 06:25:10	11:31:27.17
C/2012	TLESCAN	EQ	16:03:49.93	-22:48:23.9	2013/11/28 06:25:14	11:31:31.18
C/2012	TLESCAN	EQ	16:03:50.00	-22:48:23.8	2013/11/28 06:25:18	11:31:35.20
C/2012	TLESCAN	EQ	16:03:50.08	-22:48:23.8	2013/11/28 06:25:22	11:31:39.21
C/2012	TLESCAN	EQ	16:03:50.15	-22:48:23.8	2013/11/28 06:25:26	11:31:43.22
C/2012	TLESCAN	EQ	16:03:50.22	-22:48:23.8	2013/11/28 06:25:30	11:31:47.23
C/2012	TLESCAN	EQ	16:03:50.29	-22:48:23.8	2013/11/28 06:25:34	11:31:51.24
C/2012	TLESCAN	EQ	16:03:50.37	-22:48:23.8	2013/11/28 06:25:38	11:31:55.25
C/2012	TLESCAN	EQ	16:03:50.44	-22:48:23.8	2013/11/28 06:25:42	11:31:59.26
C/2012	TLESCAN	EQ	16:03:50.51	-22:48:23.8	2013/11/28 06:25:47	11:32:03.27
C/2012	TLESCAN	EQ	16:03:50.60	-22:48:23.8	2013/11/28 06:25:52	11:32:08.29
C/2012	TLESCAN	EQ	16:03:50.69	-22:48:23.8	2013/11/28 06:25:56	11:32:13.30
C/2012	TLESCAN	EQ	16:03:50.77	-22:48:23.7	2013/11/28 06:26:01	11:32:17.31
C/2012	TLESCAN	EQ	16:03:50.86	-22:48:23.7	2013/11/28 06:26:06	11:32:22.32
C/2012	TLESCAN	EQ	16:03:50.95	-22:48:23.7	2013/11/28 06:26:11	11:32:27.34
C/2012	TLESCAN	EQ	16:03:51.04	-22:48:23.7	2013/11/28 06:26:16	11:32:32.35
C/2012	TLESCAN	EQ	16:03:51.13	-22:48:23.7	2013/11/28 06:26:20	11:32:37.37
C/2012	TLESCAN	EQ	16:03:51.20	-22:48:23.7	2013/11/28 06:26:25	11:32:41.38
C/2012	TLESCAN	EQ	16:03:51.29	-22:48:23.7	2013/11/28 06:26:30	11:32:46.39
C/2012	TLESCAN	EQ	16:03:51.38	-22:48:23.7	2013/11/28 06:26:35	11:32:51.40
C/2012	TLESCAN	EQ	16:03:51.47	-22:48:23.6	2013/11/28 06:26:39	11:32:56.42
C/2012	TLESCAN	EQ	16:03:51.55	-22:48:23.6	2013/11/28 06:26:44	11:33:00.43
C/2012	TLESCAN	EQ	16:03:51.64	-22:48:23.6	2013/11/28 06:26:49	11:33:05.44
C/2012	TLESCAN	EQ	16:03:51.73	-22:48:23.6	2013/11/28 06:26:54	11:33:10.46
C/2012	TLESCAN	EQ	16:03:51.82	-22:48:23.6	2013/11/28 06:26:59	11:33:15.47
C/2012	TLESCAN	EQ	16:03:51.91	-22:48:23.6	2013/11/28 06:27:04	11:33:20.48
C/2012	TLESCAN	EQ	16:03:52.00	-22:48:23.6	2013/11/28 06:27:09	11:33:25.50
C/2012	TLESCAN	EQ	16:03:52.09	-22:48:23.6	2013/11/28 06:27:14	11:33:30.51
C/2012	TLESCAN	EQ	16:03:52.18	-22:48:23.6	2013/11/28 06:27:19	11:33:35.52
C/2012	TLESCAN	EQ	16:03:52.27	-22:48:23.5	2013/11/28 06:27:24	11:33:40.54
C/2012	TLESCAN	EQ	16:03:52.36	-22:48:23.5	2013/11/28 06:27:29	11:33:45.55
C/2012	TLESCAN	EQ	16:03:52.45	-22:48:23.5	2013/11/28 06:27:34	11:33:50.57
C/2012	TLESCAN	EQ	16:03:52.54	-22:48:23.5	2013/11/28 06:27:38	11:33:55.58
C/2012	TLESCAN	EQ	16:03:52.62	-22:48:23.5	2013/11/28 06:27:43	11:33:59.59
C/2012	TLESCAN	EQ	16:03:52.71	-22:48:23.5	2013/11/28 06:27:48	11:34:04.60
C/2012	TLESCAN	EQ	16:03:52.80	-22:48:23.5	2013/11/28 06:27:53	11:34:09.62
C/2012	TLESCAN	EQ	16:03:52.89	-22:48:23.5	2013/11/28 06:27:57	11:34:14.63
C/2012	TLESCAN	EQ	16:03:52.96	-22:48:23.4	2013/11/28 06:28:01	11:34:18.64
C/2012	TLESCAN	EQ	16:03:53.03	-22:48:23.4	2013/11/28 06:28:05	11:34:22.65
C/2012	TLESCAN	EQ	16:03:53.11	-22:48:23.4	2013/11/28 06:28:09	11:34:26.66
C/2012	TLESCAN	EQ	16:03:53.18	-22:48:23.4	2013/11/28 06:28:13	11:34:30.67
C/2012	TLESCAN	EQ	16:03:53.25	-22:48:23.4	2013/11/28 06:28:17	11:34:34.69
C/2012	TLESCAN	EQ	16:03:53.32	-22:48:23.4	2013/11/28 06:28:21	11:34:38.70
C/2012	TLESCAN	EQ	16:03:53.40	-22:48:23.4	2013/11/28 06:28:25	11:34:42.71
C/2012	TLESCAN	EQ	16:03:53.47	-22:48:23.4	2013/11/28 06:28:29	11:34:46.72
C/2012	TLESCAN	EQ	16:03:53.54	-22:48:23.4	2013/11/28 06:28:33	11:34:50.73
C/2012	TLESCAN	EQ	16:03:53.61	-22:48:23.3	2013/11/28 06:28:37	11:34:54.74
C/2012	TLESCAN	EQ	16:03:53.69	-22:48:23.3	2013/11/28 06:28:41	11:34:58.75
C/2012	TLESCAN	EQ	16:03:53.76	-22:48:23.3	2013/11/28 06:28:45	11:35:02.76
C/2012	TLESCAN	EQ	16:03:53.83	-22:48:23.3	2013/11/28 06:28:49	11:35:06.77
C/2012	TLESCAN	EQ	16:03:53.91	-22:48:23.3	2013/11/28 06:28:53	11:35:10.78
C/2012	TLESCAN	EQ	16:03:53.98	-22:48:23.3	2013/11/28 06:28:57	11:35:14.80
C/2012	TLESCAN	EQ	16:03:54.05	-22:48:23.3	2013/11/28 06:29:01	11:35:18.81
